After training 4.29 hours, episode: 14400.0, frames: 3.62M, average reward: 3.91
After training 4.32 hours, episode: 14500.0, frames: 3.65M, average reward: 2.98
After training 4.35 hours, episode: 14600.0, frames: 3.67M, average reward: 2.84
After training 4.38 hours, episode: 14700.0, frames: 3.70M, average reward: 1.97
After training 4.41 hours, episode: 14800.0, frames: 3.72M, average reward: 1.74
After training 4.43 hours, episode: 14900.0, frames: 3.75M, average reward: 3.38
After training 4.46 hours, episode: 15000.0, frames: 3.77M, average reward: 1.15
After training 4.49 hours, episode: 15100.0, frames: 3.80M, average reward: 1.13
After training 4.52 hours, episode: 15200.0, frames: 3.82M, average reward: 2.70
After training 4.55 hours, episode: 15300.0, frames: 3.84M, average reward: 1.66
After training 4.57 hours, episode: 15400.0, frames: 3.87M, average reward: 2.49
After training 4.60 hours, episode: 15500.0, frames: 3.90M, average reward: 3.26
After training 4.63 hours, episode: 15600.0, frames: 3.92M, average reward: 1.84
After training 4.66 hours, episode: 15700.0, frames: 3.95M, average reward: 2.71
After training 4.69 hours, episode: 15800.0, frames: 3.97M, average reward: 1.56
After training 4.71 hours, episode: 15900.0, frames: 4.00M, average reward: 3.50
After training 4.74 hours, episode: 16000.0, frames: 4.03M, average reward: 3.24
After training 4.76 hours, episode: 16100.0, frames: 4.05M, average reward: 2.79
After training 4.79 hours, episode: 16200.0, frames: 4.08M, average reward: 1.97
After training 4.82 hours, episode: 16300.0, frames: 4.10M, average reward: 1.58
After training 4.86 hours, episode: 16400.0, frames: 4.12M, average reward: 3.96
After training 4.89 hours, episode: 16500.0, frames: 4.15M, average reward: 3.79
After training 4.92 hours, episode: 16600.0, frames: 4.18M, average reward: 1.94
After training 4.95 hours, episode: 16700.0, frames: 4.21M, average reward: 2.78
After training 4.99 hours, episode: 16800.0, frames: 4.23M, average reward: 1.78
After training 5.01 hours, episode: 16900.0, frames: 4.26M, average reward: 3.57
After training 5.04 hours, episode: 17000.0, frames: 4.29M, average reward: 2.61
After training 5.07 hours, episode: 17100.0, frames: 4.32M, average reward: 3.17
After training 5.10 hours, episode: 17200.0, frames: 4.34M, average reward: 1.54
After training 5.13 hours, episode: 17300.0, frames: 4.36M, average reward: 3.93
After training 5.16 hours, episode: 17400.0, frames: 4.38M, average reward: 2.19
After training 5.19 hours, episode: 17500.0, frames: 4.41M, average reward: 3.11
After training 5.23 hours, episode: 17600.0, frames: 4.44M, average reward: 2.09
After training 5.26 hours, episode: 17700.0, frames: 4.47M, average reward: 1.64
After training 5.29 hours, episode: 17800.0, frames: 4.49M, average reward: 2.14
After training 5.31 hours, episode: 17900.0, frames: 4.51M, average reward: 1.74
After training 5.34 hours, episode: 18000.0, frames: 4.54M, average reward: 2.69
After training 5.38 hours, episode: 18100.0, frames: 4.56M, average reward: 1.79
After training 5.41 hours, episode: 18200.0, frames: 4.59M, average reward: 2.56
After training 5.44 hours, episode: 18300.0, frames: 4.62M, average reward: 1.57
After training 5.47 hours, episode: 18400.0, frames: 4.65M, average reward: 1.99
After training 5.50 hours, episode: 18500.0, frames: 4.67M, average reward: 2.95
After training 5.53 hours, episode: 18600.0, frames: 4.70M, average reward: 3.35
After training 5.56 hours, episode: 18700.0, frames: 4.73M, average reward: 2.67
After training 5.59 hours, episode: 18800.0, frames: 4.75M, average reward: 2.55
